stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dog pilot.jpg,n,practice_images/dog pilot.jpg,implausible,practice,,,,,0,13,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.495454299999984,None,None,0,,40.495454299999984,None,40.495454299999984,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
underwater skateboard.jpg,n,practice_images/underwater skateboard.jpg,implausible,practice,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.51203979999991,None,None,0,,40.51203979999991,None,40.51203979999991,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
throwing noodles.jpg,n,practice_images/throwing noodles.jpg,implausible,practice,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.51203979999991,None,None,0,,40.51203979999991,None,40.51203979999991,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
parking lot.jpg,c,practice_images/parking lot.jpg,plausible,practice,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.52862529999984,None,None,0,,40.52862529999984,None,40.52862529999984,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
dog playing.jpg,c,practice_images/dog playing.jpg,plausible,practice,,,,,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.52862529999984,None,None,0,,40.52862529999984,None,40.52862529999984,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
bikini woman gun.jpg,n,practice_images/bikini woman gun.jpg,implausible,practice,,,,,0,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.52862529999984,None,None,0,,40.52862529999984,None,40.52862529999984,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
balancing on umbrella.jpg,n,practice_images/balancing on umbrella.jpg,implausible,practice,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.545210799999765,None,None,0,,40.545210799999765,None,40.545210799999765,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.559712900001614,None,space,10.373711000000185,42.54612250000355,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
divers in empty pool.jpg,n,images/divers in empty pool.jpg,Implausible,2,,,,,,,,,0,0,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.00990119999915,None,c,0,1.395072799998161,53.00990119999915,None,53.00990119999915,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
baby crib in desk drawer.jpg,n,images/baby crib in desk drawer.jpg,Implausible,2,,,,,,,,,0,1,1,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.47592889999942,None,n,1,1.7383371999967494,54.47592889999942,None,54.47592889999942,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
