1.0662 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.7728 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
8.8988 	EXP 	Created breakimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='breakfile.jpg', interpolate=True, mask=None, maskParams=None, name='breakimage', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.6, 0.9]), texRes=128.0, units='height', win=Window(...))
8.9158 	EXP 	Created end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.9636 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
8.9623 	EXP 	std_instructions: autoDraw = True
9.5973 	DEBUG 	Read csv file with pandas: standardizingRTs.csv
9.5988 	DEBUG 	Clearing unnamed columns from standardizingRTs.csv
9.5991 	EXP 	Imported standardizingRTs.csv as conditions, 2 conditions, 2 params
9.5995 	EXP 	Created sequence: random, trialTypes=2, nReps=10, seed=None
9.5998 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
9.6089 	DATA 	Keypress: space
9.6284 	EXP 	std_instructions: autoDraw = False
9.6284 	EXP 	text: text = "Press the 'yes' key."
9.6284 	EXP 	text: autoDraw = True
10.0389 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
10.0535 	DATA 	Keypress: c
10.0636 	EXP 	text: autoDraw = False
10.0636 	EXP 	text: text = "Press the 'no' key."
10.0636 	EXP 	text: autoDraw = True
10.3369 	DATA 	Keypress: n
10.3542 	EXP 	New trial (rep=1, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
10.3817 	EXP 	text: autoDraw = False
10.3817 	EXP 	text: text = "Press the 'no' key."
10.3817 	EXP 	text: autoDraw = True
10.6533 	EXP 	New trial (rep=1, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
10.6663 	DATA 	Keypress: c
10.6782 	EXP 	text: autoDraw = False
10.6782 	EXP 	text: text = "Press the 'yes' key."
10.6782 	EXP 	text: autoDraw = True
10.9366 	DATA 	Keypress: n
10.9538 	EXP 	New trial (rep=2, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
10.9790 	EXP 	text: autoDraw = False
10.9790 	EXP 	text: text = "Press the 'no' key."
10.9790 	EXP 	text: autoDraw = True
11.5056 	EXP 	New trial (rep=2, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
11.5228 	DATA 	Keypress: c
11.5468 	EXP 	text: autoDraw = False
11.5468 	EXP 	text: text = "Press the 'yes' key."
11.5468 	EXP 	text: autoDraw = True
12.0192 	EXP 	New trial (rep=3, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
12.0265 	DATA 	Keypress: n
12.0473 	EXP 	text: autoDraw = False
12.0473 	EXP 	text: text = "Press the 'yes' key."
12.0473 	EXP 	text: autoDraw = True
12.3398 	DATA 	Keypress: c
12.3710 	EXP 	New trial (rep=3, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
12.3964 	EXP 	text: autoDraw = False
12.3964 	EXP 	text: text = "Press the 'no' key."
12.3964 	EXP 	text: autoDraw = True
12.8526 	EXP 	New trial (rep=4, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
12.8575 	DATA 	Keypress: n
12.8780 	EXP 	text: autoDraw = False
12.8780 	EXP 	text: text = "Press the 'no' key."
12.8780 	EXP 	text: autoDraw = True
13.1956 	EXP 	New trial (rep=4, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
13.2088 	DATA 	Keypress: n
13.2284 	EXP 	text: autoDraw = False
13.2284 	EXP 	text: text = "Press the 'yes' key."
13.2284 	EXP 	text: autoDraw = True
13.6391 	DATA 	Keypress: c
13.6558 	EXP 	New trial (rep=5, index=0): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
13.6792 	EXP 	text: autoDraw = False
13.6792 	EXP 	text: text = "Press the 'yes' key."
13.6792 	EXP 	text: autoDraw = True
14.0362 	EXP 	New trial (rep=5, index=1): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
14.0482 	DATA 	Keypress: c
14.0631 	EXP 	text: autoDraw = False
14.0631 	EXP 	text: text = "Press the 'no' key."
14.0631 	EXP 	text: autoDraw = True
14.4698 	EXP 	New trial (rep=6, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
14.4747 	DATA 	Keypress: n
14.4963 	EXP 	text: autoDraw = False
14.4963 	EXP 	text: text = "Press the 'no' key."
14.4963 	EXP 	text: autoDraw = True
14.7874 	EXP 	New trial (rep=6, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
14.8021 	DATA 	Keypress: n
14.8131 	EXP 	text: autoDraw = False
14.8131 	EXP 	text: text = "Press the 'yes' key."
14.8131 	EXP 	text: autoDraw = True
15.2352 	EXP 	New trial (rep=7, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
15.2465 	DATA 	Keypress: c
15.2610 	EXP 	text: autoDraw = False
15.2610 	EXP 	text: text = "Press the 'no' key."
15.2610 	EXP 	text: autoDraw = True
15.6103 	DATA 	Keypress: n
15.6393 	EXP 	New trial (rep=7, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
15.6775 	EXP 	text: autoDraw = False
15.6775 	EXP 	text: text = "Press the 'yes' key."
15.6775 	EXP 	text: autoDraw = True
16.0213 	DATA 	Keypress: c
16.0386 	EXP 	New trial (rep=8, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
16.0784 	EXP 	text: autoDraw = False
16.0784 	EXP 	text: text = "Press the 'no' key."
16.0784 	EXP 	text: autoDraw = True
16.3876 	DATA 	Keypress: n
16.9040 	EXP 	New trial (rep=8, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
16.9240 	DATA 	Keypress: n
16.9470 	EXP 	text: autoDraw = False
16.9470 	EXP 	text: text = "Press the 'yes' key."
16.9470 	EXP 	text: autoDraw = True
17.3372 	DATA 	Keypress: c
17.3551 	EXP 	New trial (rep=9, index=0): OrderedDict([('stimulus', "Press the 'no' key."), ('corrAns', 'n')])
17.3792 	EXP 	text: autoDraw = False
17.3792 	EXP 	text: text = "Press the 'no' key."
17.3792 	EXP 	text: autoDraw = True
17.7373 	EXP 	New trial (rep=9, index=1): OrderedDict([('stimulus', "Press the 'yes' key."), ('corrAns', 'c')])
17.7599 	DATA 	Keypress: n
17.7775 	EXP 	text: autoDraw = False
17.7775 	EXP 	text: text = "Press the 'yes' key."
17.7775 	EXP 	text: autoDraw = True
18.1275 	DATA 	Keypress: c
18.1454 	EXP 	text: autoDraw = False
18.1454 	EXP 	task_instructions: autoDraw = True
19.3679 	DATA 	Keypress: space
22.9040 	DATA 	Keypress: space
23.4886 	DATA 	Keypress: space
23.5464 	EXP 	task_instructions: autoDraw = False
23.5464 	EXP 	practice_block: autoDraw = True
26.5407 	DEBUG 	Read csv file with pandas: practice.csv
26.5443 	DEBUG 	Clearing unnamed columns from practice.csv
26.5468 	EXP 	Imported practice.csv as conditions, 20 conditions, 5 params
26.5476 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
26.5484 	EXP 	New trial (rep=0, index=0): OrderedDict([('file', 'practice_images/looking at xray.jpg'), ('stimulus', 'looking at xray.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
26.5953 	EXP 	practice_block: autoDraw = False
26.5953 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
26.5953 	EXP 	image_practice: image = 'practice_images/looking at xray.jpg'
26.5953 	EXP 	trial_instructions_practice: autoDraw = True
26.5953 	EXP 	image_practice: autoDraw = True
28.8063 	DATA 	Keypress: d
29.2875 	DATA 	Keypress: d
30.0714 	DATA 	Keypress: c
30.1036 	EXP 	New trial (rep=0, index=1): OrderedDict([('file', 'practice_images/giant coffee.jpg'), ('stimulus', 'giant coffee.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
30.1289 	EXP 	trial_instructions_practice: autoDraw = False
30.1289 	EXP 	image_practice: autoDraw = False
30.1289 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
30.1289 	EXP 	image_practice: image = 'practice_images/giant coffee.jpg'
30.1289 	EXP 	trial_instructions_practice: autoDraw = True
30.1289 	EXP 	image_practice: autoDraw = True
31.2533 	DATA 	Keypress: n
31.2698 	EXP 	New trial (rep=0, index=2): OrderedDict([('file', 'practice_images/throwing noodles.jpg'), ('stimulus', 'throwing noodles.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
31.3104 	EXP 	trial_instructions_practice: autoDraw = False
31.3104 	EXP 	image_practice: autoDraw = False
31.3104 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
31.3104 	EXP 	image_practice: image = 'practice_images/throwing noodles.jpg'
31.3104 	EXP 	trial_instructions_practice: autoDraw = True
31.3104 	EXP 	image_practice: autoDraw = True
31.9544 	EXP 	New trial (rep=0, index=3): OrderedDict([('file', 'practice_images/balancing on umbrella.jpg'), ('stimulus', 'balancing on umbrella.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
31.9783 	DATA 	Keypress: c
31.9937 	EXP 	trial_instructions_practice: autoDraw = False
31.9937 	EXP 	image_practice: autoDraw = False
31.9937 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
31.9937 	EXP 	image_practice: image = 'practice_images/balancing on umbrella.jpg'
31.9937 	EXP 	trial_instructions_practice: autoDraw = True
31.9937 	EXP 	image_practice: autoDraw = True
32.5033 	EXP 	New trial (rep=0, index=4): OrderedDict([('file', 'practice_images/buisness man working.jpg'), ('stimulus', 'buisness man working.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
32.5218 	DATA 	Keypress: c
32.5439 	EXP 	trial_instructions_practice: autoDraw = False
32.5439 	EXP 	image_practice: autoDraw = False
32.5439 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
32.5439 	EXP 	image_practice: image = 'practice_images/buisness man working.jpg'
32.5439 	EXP 	trial_instructions_practice: autoDraw = True
32.5439 	EXP 	image_practice: autoDraw = True
33.8215 	EXP 	New trial (rep=0, index=5): OrderedDict([('file', 'practice_images/mowing the lawn.jpg'), ('stimulus', 'mowing the lawn.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
33.8417 	DATA 	Keypress: c
33.8616 	EXP 	trial_instructions_practice: autoDraw = False
33.8616 	EXP 	image_practice: autoDraw = False
33.8616 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
33.8616 	EXP 	image_practice: image = 'practice_images/mowing the lawn.jpg'
33.8616 	EXP 	trial_instructions_practice: autoDraw = True
33.8616 	EXP 	image_practice: autoDraw = True
34.9207 	EXP 	New trial (rep=0, index=6): OrderedDict([('file', 'practice_images/sawing apple.jpg'), ('stimulus', 'sawing apple.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
34.9310 	DATA 	Keypress: c
34.9475 	EXP 	trial_instructions_practice: autoDraw = False
34.9475 	EXP 	image_practice: autoDraw = False
34.9475 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
34.9475 	EXP 	image_practice: image = 'practice_images/sawing apple.jpg'
34.9475 	EXP 	trial_instructions_practice: autoDraw = True
34.9475 	EXP 	image_practice: autoDraw = True
36.0711 	DATA 	Keypress: n
36.1011 	EXP 	New trial (rep=0, index=7): OrderedDict([('file', 'practice_images/bikini woman gun.jpg'), ('stimulus', 'bikini woman gun.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
36.1451 	EXP 	trial_instructions_practice: autoDraw = False
36.1451 	EXP 	image_practice: autoDraw = False
36.1451 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
36.1451 	EXP 	image_practice: image = 'practice_images/bikini woman gun.jpg'
36.1451 	EXP 	trial_instructions_practice: autoDraw = True
36.1451 	EXP 	image_practice: autoDraw = True
36.8848 	EXP 	New trial (rep=0, index=8): OrderedDict([('file', 'practice_images/dog playing.jpg'), ('stimulus', 'dog playing.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
36.9161 	DATA 	Keypress: n
36.9299 	EXP 	trial_instructions_practice: autoDraw = False
36.9299 	EXP 	image_practice: autoDraw = False
36.9299 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
36.9299 	EXP 	image_practice: image = 'practice_images/dog playing.jpg'
36.9299 	EXP 	trial_instructions_practice: autoDraw = True
36.9299 	EXP 	image_practice: autoDraw = True
37.7685 	EXP 	New trial (rep=0, index=9): OrderedDict([('file', 'practice_images/boss baby.jpg'), ('stimulus', 'boss bably.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
37.7902 	EXP 	New trial (rep=0, index=10): OrderedDict([('file', 'practice_images/dog pilot.jpg'), ('stimulus', 'dog pilot.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
37.8028 	EXP 	New trial (rep=0, index=11): OrderedDict([('file', 'practice_images/man with paper in mouth.jpg'), ('stimulus', 'man with paper in mouth.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
37.8148 	EXP 	New trial (rep=0, index=12): OrderedDict([('file', 'practice_images/man running.jpg'), ('stimulus', 'man running.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8267 	EXP 	New trial (rep=0, index=13): OrderedDict([('file', 'practice_images/woman vacuuming grass.jpg'), ('stimulus', 'woman vacuuming grass.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
37.8365 	EXP 	New trial (rep=0, index=14): OrderedDict([('file', 'practice_images/boxer training.jpg'), ('stimulus', 'boxer training.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8444 	EXP 	New trial (rep=0, index=15): OrderedDict([('file', 'practice_images/parking lot.jpg'), ('stimulus', 'parking lot.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8514 	EXP 	New trial (rep=0, index=16): OrderedDict([('file', 'practice_images/underwater skateboard.jpg'), ('stimulus', 'underwater skateboard.jpg'), ('condition', 'implausible'), ('block', 'practice'), ('corrAns', 'n')])
37.8584 	EXP 	New trial (rep=0, index=17): OrderedDict([('file', 'practice_images/kids playing.jpg'), ('stimulus', 'kids playing.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8654 	EXP 	New trial (rep=0, index=18): OrderedDict([('file', 'practice_images/girl and woman_patio.jpg'), ('stimulus', 'girl and woman_patio.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8736 	EXP 	New trial (rep=0, index=19): OrderedDict([('file', 'practice_images/family cooking.jpg'), ('stimulus', 'family cooking.jpg'), ('condition', 'plausible'), ('block', 'practice'), ('corrAns', 'c')])
37.8838 	DATA 	Keypress: c
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/boss baby.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/dog pilot.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/man with paper in mouth.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/man running.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/woman vacuuming grass.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/boxer training.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/parking lot.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/underwater skateboard.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/kids playing.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/girl and woman_patio.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	image_practice: size = array([0.62555556, 0.46888889])
37.8939 	EXP 	image_practice: image = 'practice_images/family cooking.jpg'
37.8939 	EXP 	trial_instructions_practice: autoDraw = True
37.8939 	EXP 	image_practice: autoDraw = True
37.8939 	EXP 	trial_instructions_practice: autoDraw = False
37.8939 	EXP 	image_practice: autoDraw = False
37.8939 	EXP 	experiment_block: autoDraw = True
41.3071 	DEBUG 	Read csv file with pandas: experiment.csv
41.3098 	DEBUG 	Clearing unnamed columns from experiment.csv
41.3286 	EXP 	Imported experiment.csv as conditions, 256 conditions, 5 params
41.3302 	EXP 	Created sequence: random, trialTypes=256, nReps=1, seed=None
41.3308 	EXP 	New trial (rep=0, index=0): OrderedDict([('file', 'images/man_home office.jpg'), ('stimulus', 'man_home office.jpg'), ('condition', 'Plausible'), ('block', 1), ('corrAns', 'c')])
41.3531 	DATA 	Keypress: space
41.3588 	EXP 	experiment_block: autoDraw = False
41.3588 	EXP 	image: size = array([0.62555556, 0.46888889])
41.3588 	EXP 	image: image = 'images/man_home office.jpg'
41.3588 	EXP 	trial_instructions: autoDraw = True
41.3588 	EXP 	image: autoDraw = True
42.9885 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
42.9894 	EXP 	New trial (rep=0, index=1): OrderedDict([('file', 'images/man_golfing.jpg'), ('stimulus', 'man_golfing.jpg'), ('condition', 'Plausible'), ('block', 1), ('corrAns', 'c')])
43.0147 	DATA 	Keypress: c
43.0275 	EXP 	trial_instructions: autoDraw = False
43.0275 	EXP 	image: autoDraw = False
43.0275 	EXP 	image: size = array([0.62555556, 0.46888889])
43.0275 	EXP 	image: image = 'images/man_golfing.jpg'
43.0275 	EXP 	trial_instructions: autoDraw = True
43.0275 	EXP 	image: autoDraw = True
43.9543 	DATA 	Keypress: c
43.9865 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
