stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
woman_drilling.jpg,c,images/woman_drilling.jpg,Plausible,2,,,,,,,,,0,4,4,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3326173000023,None,c,1,0.07620440000027884,143.3326173000023,None,143.3326173000023,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man and woman_dinner table.jpg,c,images/man and woman_dinner table.jpg,Plausible,1,,,,,,,,,0,5,5,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.46562950000225,None,n,0,0.037720799999078736,143.46562950000225,None,143.46562950000225,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
punching milk.jpg,n,images/punching milk.jpg,Implausible,1,,,,,,,,,0,6,6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.54958790000092,None,c,0,0.05559010000433773,143.54958790000092,None,143.54958790000092,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man_fishing boat.jpg,c,images/man_fishing boat.jpg,Plausible,1,,,,,,,,,0,7,7,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6673735000004,None,n,0,0.017143999997642823,143.6673735000004,None,143.6673735000004,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
office desk in forest.jpg,n,images/office desk in forest.jpg,Implausible,1,,,,,,,,,0,8,8,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7158880000061,None,c,0,0.07759359999909066,143.7158880000061,None,143.7158880000061,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
eating cords w chopsticks.jpg,n,images/eating cords w chopsticks.jpg,Implausible,2,,,,,,,,,0,9,9,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.83412430000317,None,n,1,0.14068760000373004,143.83412430000317,None,143.83412430000317,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
woman_singing on stage.jpg,c,images/woman_singing on stage.jpg,Plausible,2,,,,,,,,,0,10,10,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.04896210000152,None,n,0,0.07432169999810867,144.04896210000152,None,144.04896210000152,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
woman_throwing frisbee.jpg,c,images/woman_throwing frisbee.jpg,Plausible,2,,,,,,,,,0,11,11,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.20861300000252,None,n,0,0.08111079999798676,144.20861300000252,None,144.20861300000252,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
ballerina mechanic.jpg,n,images/ballerina mechanic.jpg,Implausible,2,,,,,,,,,0,12,12,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.38424520000262,None,c,0,0.08665610000025481,144.38424520000262,None,144.38424520000262,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man_cracking coconut island.jpg,c,images/man_cracking coconut island.jpg,Plausible,1,,,,,,,,,0,13,13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.53463630000624,None,n,0,0.07139019999885932,144.53463630000624,None,144.53463630000624,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
man_fishing.jpg,c,images/man_fishing.jpg,Plausible,1,,,,,,,,,0,14,14,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.70056980000663,None,c,1,0.1884871000002022,144.70056980000663,None,144.70056980000663,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
woman_driving.jpg,c,images/woman_driving.jpg,Plausible,2,,,,,,,,,0,15,15,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.9518446000002,None,n,0,0.033389700001862366,144.9518446000002,None,144.9518446000002,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
woman_rock climbing.jpg,c,images/woman_rock climbing.jpg,Plausible,2,,,,,,,,,0,16,16,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.05054660000314,None,n,0,0.09236819999932777,145.05054660000314,None,145.05054660000314,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
business man jumping off bridge.jpg,n,images/business man jumping off bridge.jpg,Implausible,2,,,,,,,,,0,17,17,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.21556930000224,None,n,1,0.07755819999874802,145.21556930000224,None,145.21556930000224,None,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
